codigo_docente,nome_docente
1887012,Wagner Pralon Mancuso
1987427,Wagner Tadeu Iglecias
309946,Cecilia Olivieri
494026,Cristiane Kerches da Silva Leite
2949346,Renata Mirandola Bichir
1987427,Wagner Tadeu Iglecias
5729116,Tânia Araújo Viel
3047582,Andrea Cavicchioli
3021642,Felipe Santiago Chambergo Alcalde
2355031,Rodrigo Hirata Willemart
2872716,Diego Antonio Falceta Gonçalves
6630800,Eutimio Gustavo Fernández Núñez
7029901,Grzegorz Kowal
5729116,Tânia Araújo Viel
4983370,Viviane Abreu Nunes Cerqueira Dantas
618281,Antonio Calixto de Souza Filho
2373511,Rogério Monteiro de Siqueira
1780347,Rosana Retsos Signorelli Vargas
2160326,Rosa Yuka Sato Chubaci
1523412,Maristela Belletti Mutt Urasaki
1523412,Maristela Belletti Mutt Urasaki
1391402,Mario Pedrazzoli Neto
3372766,Michele Schultz Ramos
1032901,Fabiana de Sant'Anna Evangelista
1032901,Fabiana de Sant'Anna Evangelista
3021642,Felipe Santiago Chambergo Alcalde
4881727,Flávio de Oliveira Pires
1032901,Fabiana de Sant'Anna Evangelista
3021642,Felipe Santiago Chambergo Alcalde
4881727,Flávio de Oliveira Pires
75706,Luiz Silveira Menna Barreto
1391402,Mario Pedrazzoli Neto
5729116,Tânia Araújo Viel
5729116,Tânia Araújo Viel
2341105,Anna Karenina Azevedo Martins
4779987,Ivana Brito
4779987,Ivana Brito
2341105,Anna Karenina Azevedo Martins
7317228,Claudia Medeiros de Castro
1032901,Fabiana de Sant'Anna Evangelista
3021642,Felipe Santiago Chambergo Alcalde
75706,Luiz Silveira Menna Barreto
1391402,Mario Pedrazzoli Neto
3372766,Michele Schultz Ramos
5729116,Tânia Araújo Viel
4983370,Viviane Abreu Nunes Cerqueira Dantas
2341105,Anna Karenina Azevedo Martins
1032901,Fabiana de Sant'Anna Evangelista
3021642,Felipe Santiago Chambergo Alcalde
75706,Luiz Silveira Menna Barreto
1391402,Mario Pedrazzoli Neto
3372766,Michele Schultz Ramos
5729116,Tânia Araújo Viel
4983370,Viviane Abreu Nunes Cerqueira Dantas
627660,Alexandre Toshiro Igari
918601,Luiz Carlos Beduschi Filho
5567742,Silvia Helena Zanirato
691878,Jane Aparecida Marques
